Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
9020;Toudouze - Clauzel;OUI;21;20;1;1;0;OUI;OUI;2024-06-15T12:49:08+02:00;48.87929591733507, 2.3373600840568547;Paris;
16107;Benjamin Godard - Victor Hugo;OUI;35;32;2;0;2;OUI;OUI;2024-06-15T12:52:02+02:00;48.865983, 2.275725;Paris;
14111;Cassini - Denfert-Rochereau;OUI;25;24;1;0;1;OUI;OUI;2024-06-15T12:52:08+02:00;48.837525839067, 2.3360354080796;Paris;
32304;Charcot - Benfleet;NON;0;0;0;0;0;NON;NON;2024-03-29T10:30:37+01:00;48.878370277021, 2.440523876268;Romainville;
11104;Charonne - Robert et Sonia Delaunay;OUI;20;16;4;0;4;OUI;OUI;2024-06-15T12:52:20+02:00;48.855907555969, 2.3925706744194;Paris;
44015;Rouget de L'isle - Watteau;OUI;20;2;16;1;15;OUI;OUI;2024-06-15T12:52:21+02:00;48.778192750803, 2.3963020229163;Vitry-sur-Seine;
8026;Messine - Place Du Pérou;OUI;12;10;2;1;1;OUI;OUI;2024-06-15T12:45:56+02:00;48.875448033960744, 2.315508019010038;Paris;
12109;Mairie du 12ème;OUI;30;3;27;23;4;OUI;OUI;2024-06-15T12:52:02+02:00;48.840855311763, 2.3875549435616;Paris;
13007;Le Brun - Gobelins;OUI;48;40;6;4;2;OUI;OUI;2024-06-15T12:43:08+02:00;48.835092787824, 2.3534681351338;Paris;
14014;Jourdan - Stade Charléty;OUI;60;38;22;9;13;OUI;OUI;2024-06-15T12:51:28+02:00;48.819428333369, 2.3433353751898;Paris;
6003;Saint-Sulpice;OUI;21;6;15;7;8;OUI;OUI;2024-06-15T12:52:07+02:00;48.85165383178419, 2.3308077827095985;Paris;
32017;Basilique;OUI;22;13;8;4;4;OUI;OUI;2024-06-15T12:45:25+02:00;48.93626891059109, 2.3588666820200914;Saint-Denis;
